ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,PE_INAC,PDESOCUP,P15YM_SE,SES
14,Jalisco,1,Acatic,0,Total del Municipio,23175,6225,74,1426,0.333333333
14,Jalisco,2,Acatlán de Juárez,0,Total del Municipio,25250,9139,194,523,0.390336634
14,Jalisco,3,Ahualulco de Mercado,0,Total del Municipio,23630,6935,77,545,0.319805332
14,Jalisco,4,Amacueca,0,Total del Municipio,5743,1959,36,151,0.373672297
14,Jalisco,5,Amatitán,0,Total del Municipio,16490,5068,58,509,0.341722256
14,Jalisco,6,Ameca,0,Total del Municipio,60386,19328,321,1736,0.354138376
14,Jalisco,7,San Juanito de Escobedo,0,Total del Municipio,9433,3267,41,302,0.382699035
14,Jalisco,8,Arandas,0,Total del Municipio,80609,21053,246,4796,0.323723157
14,Jalisco,9,El Arenal,0,Total del Municipio,21115,6531,163,554,0.343263083
14,Jalisco,10,Atemajac de Brizuela,0,Total del Municipio,7758,2805,59,393,0.419824697
14,Jalisco,11,Atengo,0,Total del Municipio,5599,2339,59,239,0.47097696
14,Jalisco,12,Atenguillo,0,Total del Municipio,4176,1611,28,171,0.433429119
14,Jalisco,13,Atotonilco el Alto,0,Total del Municipio,64009,18268,267,3027,0.336858879
14,Jalisco,14,Atoyac,0,Total del Municipio,8689,2922,25,409,0.38623547
14,Jalisco,15,Autlán de Navarro,0,Total del Municipio,64931,18743,278,1932,0.322696401
14,Jalisco,16,Ayotlán,0,Total del Municipio,41552,12317,209,2383,0.358803427
14,Jalisco,17,Ayutla,0,Total del Municipio,12880,4155,81,486,0.366614907
14,Jalisco,18,La Barca,0,Total del Municipio,67937,21550,468,3160,0.370608063
14,Jalisco,19,Bolaños,0,Total del Municipio,7043,3233,70,631,0.558568792
14,Jalisco,20,Cabo Corrientes,0,Total del Municipio,10940,3010,57,444,0.320932358
14,Jalisco,21,Casimiro Castillo,0,Total del Municipio,20548,6429,64,966,0.363003699
14,Jalisco,22,Cihuatlán,0,Total del Municipio,40139,10773,186,1888,0.320062782
14,Jalisco,23,Zapotlán el Grande,0,Total del Municipio,115141,32414,576,2988,0.31246906
14,Jalisco,24,Cocula,0,Total del Municipio,29267,9375,143,1062,0.3614993
14,Jalisco,25,Colotlán,0,Total del Municipio,19689,6375,80,581,0.3573569
14,Jalisco,26,Concepción de Buenos Aires,0,Total del Municipio,6334,2095,21,352,0.389643195
14,Jalisco,27,Cuautitlán de García Barragán,0,Total del Municipio,18370,5542,82,1495,0.387534023
14,Jalisco,28,Cuautla,0,Total del Municipio,2166,893,8,122,0.472299169
14,Jalisco,29,Cuquío,0,Total del Municipio,17820,6771,67,1146,0.448035915
14,Jalisco,30,Chapala,0,Total del Municipio,55196,18134,301,1403,0.359410102
14,Jalisco,31,Chimaltitán,0,Total del Municipio,3270,1475,7,253,0.53058104
14,Jalisco,32,Chiquilistlán,0,Total del Municipio,5983,2032,84,297,0.403309377
14,Jalisco,33,Degollado,0,Total del Municipio,21226,6913,191,1243,0.393244135
14,Jalisco,34,Ejutla,0,Total del Municipio,1981,829,8,78,0.461887935
14,Jalisco,35,Encarnación de Díaz,0,Total del Municipio,53039,15612,207,2657,0.348347442
14,Jalisco,36,Etzatlán,0,Total del Municipio,20011,5886,54,425,0.318075059
14,Jalisco,37,El Grullo,0,Total del Municipio,25920,7237,98,728,0.311072531
14,Jalisco,38,Guachinango,0,Total del Municipio,4199,1777,11,207,0.475113122
14,Jalisco,39,Guadalajara,0,Total del Municipio,1385629,415764,10867,25057,0.325980475
14,Jalisco,40,Hostotipaquillo,0,Total del Municipio,8732,3152,59,475,0.422125515
14,Jalisco,41,Huejúcar,0,Total del Municipio,5920,2510,18,251,0.469425676
14,Jalisco,42,Huejuquilla el Alto,0,Total del Municipio,10015,3514,55,632,0.419470794
14,Jalisco,43,La Huerta,0,Total del Municipio,23258,6359,116,1417,0.339324104
14,Jalisco,44,Ixtlahuacán de los Membrillos,0,Total del Municipio,67969,18066,551,1487,0.295781901
14,Jalisco,45,Ixtlahuacán del Río,0,Total del Municipio,20465,6462,132,1077,0.374835084
14,Jalisco,46,Jalostotitlán,0,Total del Municipio,32678,9458,146,1257,0.332364282
14,Jalisco,47,Jamay,0,Total del Municipio,24894,7675,171,957,0.353619346
14,Jalisco,48,Jesús María,0,Total del Municipio,18982,5882,94,1769,0.408018122
14,Jalisco,49,Jilotlán de los Dolores,0,Total del Municipio,9425,2875,25,914,0.404668435
14,Jalisco,50,Jocotepec,0,Total del Municipio,47105,12214,168,1595,0.296720093
14,Jalisco,51,Juanacatlán,0,Total del Municipio,30855,8431,234,725,0.304326689
14,Jalisco,52,Juchitlán,0,Total del Municipio,5534,2029,34,173,0.404047705
14,Jalisco,53,Lagos de Moreno,0,Total del Municipio,172403,46727,1192,7385,0.320783281
14,Jalisco,54,El Limón,0,Total del Municipio,5368,2004,10,183,0.409277198
14,Jalisco,55,Magdalena,0,Total del Municipio,21781,6870,180,679,0.354850558
14,Jalisco,56,Santa María del Oro,0,Total del Municipio,1815,827,2,303,0.62369146
14,Jalisco,57,La Manzanilla de la Paz,0,Total del Municipio,4099,1513,30,128,0.407660405
14,Jalisco,58,Mascota,0,Total del Municipio,14451,4534,31,402,0.343713238
14,Jalisco,59,Mazamitla,0,Total del Municipio,14043,3878,45,503,0.31517482
14,Jalisco,60,Mexticacán,0,Total del Municipio,5307,2178,32,302,0.473337102
14,Jalisco,61,Mezquitic,0,Total del Municipio,22083,10728,102,3165,0.633745415
14,Jalisco,62,Mixtlán,0,Total del Municipio,3638,1414,10,162,0.435953821
14,Jalisco,63,Ocotlán,0,Total del Municipio,106050,30841,763,3254,0.328694012
14,Jalisco,64,Ojuelos de Jalisco,0,Total del Municipio,33588,10272,277,1528,0.359562939
14,Jalisco,65,Pihuamo,0,Total del Municipio,11386,3904,62,1118,0.446513262
14,Jalisco,66,Poncitlán,0,Total del Municipio,53659,14813,273,1768,0.31409456
14,Jalisco,67,Puerto Vallarta,0,Total del Municipio,291839,70219,1838,6295,0.268476797
14,Jalisco,68,Villa Purificación,0,Total del Municipio,11303,3276,80,602,0.350172521
14,Jalisco,69,Quitupan,0,Total del Municipio,7734,2883,59,816,0.485906387
14,Jalisco,70,El Salto,0,Total del Municipio,232852,60153,2318,6396,0.295754385
