ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POCUPADA,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,GRAPROES,GRAPROES_F,GRAPROES_M,P15YM_SE,PROM_HNV,POBTOT
14,Jalisco,001,Acatic,0001,Acatic,0194,018,33,33,12,21,14,10,4,12,21,0,0,0,7.76,8.38,7.21,*,1.82,66
14,Jalisco,001,Acatic,0001,Acatic,0194,019,32,32,15,17,16,13,3,15,17,0,0,0,8.33,8.48,8.14,8,1.96,61
14,Jalisco,001,Acatic,0001,Acatic,0194,002,23,24,5,19,21,18,3,5,18,*,0,*,6.51,5.91,7.14,6,3.26,55
14,Jalisco,001,Acatic,0001,Acatic,0194,020,31,31,7,24,31,21,10,7,24,0,0,0,6.90,6.04,7.59,5,3.36,72
14,Jalisco,001,Acatic,0001,Acatic,0194,021,32,33,13,20,23,17,6,13,19,*,0,*,6.89,6.47,7.38,11,3.03,61
14,Jalisco,001,Acatic,0001,Acatic,0194,022,14,14,5,9,14,11,3,5,9,0,0,0,7.25,7.94,6.33,6,1.44,34
14,Jalisco,001,Acatic,0001,Acatic,0194,023,53,53,20,33,30,23,7,20,33,0,0,0,7.49,8.08,6.90,5,2.07,105
14,Jalisco,001,Acatic,0001,Acatic,0194,024,16,16,5,11,15,13,*,5,11,0,0,0,7.10,7,7.21,4,3.50,39
14,Jalisco,001,Acatic,0001,Acatic,0194,025,34,35,18,17,21,15,6,18,16,*,0,*,7.81,7.77,7.86,5,2.39,68
14,Jalisco,001,Acatic,0001,Acatic,0194,026,32,32,13,19,33,21,12,13,19,0,0,0,7.67,8.29,7.07,8,2.21,75
14,Jalisco,001,Acatic,0001,Acatic,0194,027,23,23,9,14,23,17,6,9,14,0,0,0,9.88,10.25,9.42,3,2,57
14,Jalisco,001,Acatic,0001,Acatic,0194,028,21,21,10,11,9,7,*,10,11,0,0,0,10.37,10.06,10.77,3,2.53,38
14,Jalisco,001,Acatic,0001,Acatic,0194,029,30,30,12,18,19,16,3,12,18,0,0,0,6.89,7.36,6.36,5,2.46,62
14,Jalisco,001,Acatic,0001,Acatic,0194,003,15,15,7,8,14,8,6,7,8,0,0,0,7.71,7.29,8.14,4,3.87,37
14,Jalisco,001,Acatic,0001,Acatic,0194,030,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
14,Jalisco,001,Acatic,0001,Acatic,0194,031,18,18,4,14,10,7,3,4,14,0,0,0,8.92,9,8.88,0,3.09,37
14,Jalisco,001,Acatic,0001,Acatic,0194,004,30,31,17,14,15,13,*,17,13,*,0,*,9.30,9.89,8.25,*,1.33,58
14,Jalisco,001,Acatic,0001,Acatic,0194,005,51,51,23,28,36,26,10,23,28,0,0,0,5.83,5.83,5.83,16,3.59,106
14,Jalisco,001,Acatic,0001,Acatic,0194,006,47,48,24,24,20,17,3,24,23,*,0,*,6.95,6.76,7.22,12,2.56,80
14,Jalisco,001,Acatic,0001,Acatic,0194,007,66,67,28,39,24,18,6,28,38,*,0,*,6.91,7.09,6.73,8,2.98,134
14,Jalisco,001,Acatic,0001,Acatic,0194,008,51,51,25,26,25,18,7,25,26,0,0,0,7.63,7.55,7.73,8,2.40,95
14,Jalisco,001,Acatic,0001,Acatic,0194,009,38,38,19,19,20,12,8,19,19,0,0,0,8.52,7.97,9.11,*,1.87,71
14,Jalisco,001,Acatic,0001,Total AGEB urbana,0207,000,570,573,248,325,369,260,109,248,322,3,0,3,8.40,8.54,8.22,67,2.36,1146
14,Jalisco,001,Acatic,0001,Acatic,0207,001,16,16,5,11,10,8,*,5,11,0,0,0,11.80,11.92,11.69,0,1.92,40
14,Jalisco,001,Acatic,0001,Acatic,0207,010,37,37,17,20,15,12,3,17,20,0,0,0,8.74,9.15,8.20,*,1.52,60
14,Jalisco,001,Acatic,0001,Acatic,0207,011,15,15,6,9,5,5,0,6,9,0,0,0,10.16,10,10.33,0,1.45,23
14,Jalisco,001,Acatic,0001,Acatic,0207,012,19,19,6,13,16,9,7,6,13,0,0,0,9.48,9.33,9.63,0,2.33,46
